Area name,Area code,Area type,Daily lab-confirmed cases,Cumulative lab-confirmed cases,Cumulative lab-confirmed cases rate,Date
England,E92000001,nation,539,246866,438.6,2020-07-05
England,E92000001,nation,384,246327,437.6,2020-07-04
England,E92000001,nation,539,245943,436.9,2020-07-03
England,E92000001,nation,561,245404,436,2020-07-02
England,E92000001,nation,604,244843,435,2020-07-01
England,E92000001,nation,570,244239,433.9,2020-06-30
England,E92000001,nation,666,243669,432.9,2020-06-29
England,E92000001,nation,411,243003,431.7,2020-06-28
England,E92000001,nation,502,242592,431,2020-06-27
England,E92000001,nation,644,242090,430.1,2020-06-26
England,E92000001,nation,638,241446,429,2020-06-25
England,E92000001,nation,728,240808,427.8,2020-06-24
England,E92000001,nation,726,240080,426.5,2020-06-23
England,E92000001,nation,813,239354,425.2,2020-06-22
England,E92000001,nation,551,238541,423.8,2020-06-21
England,E92000001,nation,628,237990,422.8,2020-06-20
England,E92000001,nation,809,237362,421.7,2020-06-19
England,E92000001,nation,944,236553,420.3,2020-06-18
England,E92000001,nation,912,235609,418.6,2020-06-17
England,E92000001,nation,991,234697,417,2020-06-16
England,E92000001,nation,938,233706,415.2,2020-06-15
England,E92000001,nation,745,232768,413.5,2020-06-14
England,E92000001,nation,785,232023,412.2,2020-06-13
England,E92000001,nation,934,231238,410.8,2020-06-12
England,E92000001,nation,917,230304,409.2,2020-06-11
England,E92000001,nation,1085,229387,407.5,2020-06-10
England,E92000001,nation,1057,228302,405.6,2020-06-09
England,E92000001,nation,987,227245,403.7,2020-06-08
England,E92000001,nation,663,226258,402,2020-06-07
England,E92000001,nation,721,225595,400.8,2020-06-06
England,E92000001,nation,1021,224874,399.5,2020-06-05
England,E92000001,nation,1143,223853,397.7,2020-06-04
England,E92000001,nation,1243,222710,395.7,2020-06-03
England,E92000001,nation,1351,221467,393.5,2020-06-02
England,E92000001,nation,1312,220116,391.1,2020-06-01
England,E92000001,nation,984,218804,388.7,2020-05-31
England,E92000001,nation,1000,217820,387,2020-05-30
England,E92000001,nation,1370,216820,385.2,2020-05-29
England,E92000001,nation,1568,215450,382.8,2020-05-28
England,E92000001,nation,1612,213882,380,2020-05-27
England,E92000001,nation,1459,212270,377.1,2020-05-26
England,E92000001,nation,1379,210811,374.5,2020-05-25
England,E92000001,nation,1198,209432,372.1,2020-05-24
England,E92000001,nation,1300,208234,370,2020-05-23
England,E92000001,nation,1796,206934,367.6,2020-05-22
England,E92000001,nation,2275,205138,364.5,2020-05-21
England,E92000001,nation,2353,202863,360.4,2020-05-20
England,E92000001,nation,2587,200510,356.2,2020-05-19
England,E92000001,nation,2217,197923,351.6,2020-05-18
England,E92000001,nation,1589,195706,347.7,2020-05-17
England,E92000001,nation,1773,194117,344.9,2020-05-16
England,E92000001,nation,2131,192344,341.7,2020-05-15
England,E92000001,nation,2214,190213,337.9,2020-05-14
England,E92000001,nation,2880,187999,334,2020-05-13
England,E92000001,nation,2926,185119,328.9,2020-05-12
England,E92000001,nation,3069,182193,323.7,2020-05-11
England,E92000001,nation,2005,179124,318.2,2020-05-10
England,E92000001,nation,1793,177119,314.7,2020-05-09
England,E92000001,nation,2615,175326,311.5,2020-05-08
England,E92000001,nation,3204,172711,306.8,2020-05-07
England,E92000001,nation,3270,169507,301.1,2020-05-06
England,E92000001,nation,3143,166237,295.3,2020-05-05
England,E92000001,nation,2840,163094,289.8,2020-05-04
England,E92000001,nation,2630,160254,284.7,2020-05-03
England,E92000001,nation,2746,157624,280,2020-05-02
England,E92000001,nation,4089,154878,275.2,2020-05-01
England,E92000001,nation,4315,150789,267.9,2020-04-30
England,E92000001,nation,4741,146474,260.2,2020-04-29
England,E92000001,nation,4122,141733,251.8,2020-04-28
England,E92000001,nation,4033,137611,244.5,2020-04-27
England,E92000001,nation,3134,133578,237.3,2020-04-26
England,E92000001,nation,3374,130444,231.7,2020-04-25
England,E92000001,nation,4361,127070,225.8,2020-04-24
England,E92000001,nation,4562,122709,218,2020-04-23
England,E92000001,nation,4796,118147,209.9,2020-04-22
England,E92000001,nation,3971,113351,201.4,2020-04-21
England,E92000001,nation,3687,109380,194.3,2020-04-20
England,E92000001,nation,3473,105693,187.8,2020-04-19
England,E92000001,nation,4116,102220,181.6,2020-04-18
England,E92000001,nation,4076,98104,174.3,2020-04-17
England,E92000001,nation,4366,94028,167.1,2020-04-16
England,E92000001,nation,4225,89662,159.3,2020-04-15
England,E92000001,nation,3557,85437,151.8,2020-04-14
England,E92000001,nation,3443,81880,145.5,2020-04-13
England,E92000001,nation,2945,78437,139.4,2020-04-12
England,E92000001,nation,3083,75492,134.1,2020-04-11
England,E92000001,nation,3584,72409,128.6,2020-04-10
England,E92000001,nation,4062,68825,122.3,2020-04-09
England,E92000001,nation,4293,64763,115.1,2020-04-08
England,E92000001,nation,4580,60470,107.4,2020-04-07
England,E92000001,nation,4389,55890,99.3,2020-04-06
England,E92000001,nation,3086,51501,91.5,2020-04-05
England,E92000001,nation,3383,48415,86,2020-04-04
England,E92000001,nation,4101,45032,80,2020-04-03
England,E92000001,nation,4071,40931,72.7,2020-04-02
England,E92000001,nation,4104,36860,65.5,2020-04-01
England,E92000001,nation,3783,32756,58.2,2020-03-31
England,E92000001,nation,3526,28973,51.5,2020-03-30
England,E92000001,nation,2440,25447,45.2,2020-03-29
England,E92000001,nation,2375,23007,40.9,2020-03-28
England,E92000001,nation,2657,20632,36.7,2020-03-27
England,E92000001,nation,2614,17975,31.9,2020-03-26
England,E92000001,nation,2266,15361,27.3,2020-03-25
England,E92000001,nation,2026,13095,23.3,2020-03-24
England,E92000001,nation,2015,11069,19.7,2020-03-23
England,E92000001,nation,1210,9054,16.1,2020-03-22
England,E92000001,nation,1036,7844,13.9,2020-03-21
England,E92000001,nation,1084,6808,12.1,2020-03-20
England,E92000001,nation,930,5724,10.2,2020-03-19
England,E92000001,nation,908,4794,8.5,2020-03-18
England,E92000001,nation,679,3886,6.9,2020-03-17
England,E92000001,nation,546,3207,5.7,2020-03-16
England,E92000001,nation,398,2661,4.7,2020-03-15
England,E92000001,nation,314,2263,4,2020-03-14
England,E92000001,nation,393,1949,3.5,2020-03-13
England,E92000001,nation,414,1556,2.8,2020-03-12
England,E92000001,nation,353,1142,2,2020-03-11
England,E92000001,nation,226,789,1.4,2020-03-10
England,E92000001,nation,124,563,1,2020-03-09
England,E92000001,nation,50,439,0.8,2020-03-08
England,E92000001,nation,54,389,0.7,2020-03-07
England,E92000001,nation,73,335,0.6,2020-03-06
England,E92000001,nation,47,262,0.5,2020-03-05
England,E92000001,nation,49,215,0.4,2020-03-04
England,E92000001,nation,53,166,0.3,2020-03-03
England,E92000001,nation,39,113,0.2,2020-03-02
England,E92000001,nation,20,74,0.1,2020-03-01
England,E92000001,nation,5,54,0.1,2020-02-29
England,E92000001,nation,11,49,0.1,2020-02-28
England,E92000001,nation,7,38,0.1,2020-02-27
England,E92000001,nation,4,31,0.1,2020-02-26
England,E92000001,nation,5,27,0,2020-02-25
England,E92000001,nation,2,22,0,2020-02-24
England,E92000001,nation,1,20,0,2020-02-23
England,E92000001,nation,0,19,0,2020-02-22
England,E92000001,nation,1,19,0,2020-02-21
England,E92000001,nation,0,18,0,2020-02-20
England,E92000001,nation,0,18,0,2020-02-19
England,E92000001,nation,0,18,0,2020-02-18
England,E92000001,nation,0,18,0,2020-02-17
England,E92000001,nation,0,18,0,2020-02-16
England,E92000001,nation,0,18,0,2020-02-15
England,E92000001,nation,0,18,0,2020-02-14
England,E92000001,nation,0,18,0,2020-02-13
England,E92000001,nation,0,18,0,2020-02-12
England,E92000001,nation,9,18,0,2020-02-11
England,E92000001,nation,0,9,0,2020-02-10
England,E92000001,nation,1,9,0,2020-02-09
England,E92000001,nation,4,8,0,2020-02-08
England,E92000001,nation,0,4,0,2020-02-07
England,E92000001,nation,0,4,0,2020-02-06
England,E92000001,nation,1,4,0,2020-02-05
England,E92000001,nation,0,3,0,2020-02-04
England,E92000001,nation,0,3,0,2020-02-03
England,E92000001,nation,1,3,0,2020-02-02
England,E92000001,nation,0,2,0,2020-02-01
England,E92000001,nation,0,2,0,2020-01-31
England,E92000001,nation,2,2,0,2020-01-30
